Supporting Information for CO2 Rise Directly Impairs Crop Nutritional Quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data S1: Input Database, see Data S2 for details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By S.F. ter Haar*, P.M. van Bodegom, and L. Scherer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Institute of Environmental Sciences (CML), Leiden University, Leiden, The Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*email: s.f.ter.haar@cml.leidenuniv.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientific Name,Family,Genus,Species,Cultivar,Common Name,Photosynthetic Pathway,Tissue,Study Type,Plot Type,Elevated CO2,Ambient CO2,Added CO2,Additional Info,Elevated temperature,Irrigation,Sowing Time,Phosphorous application,Nitrogen application,Ozone,Year,Latitude,Longitude,Country,Reference,n,element,delta,ln r,Origin,Year Published
Lactuca sativa 'Rex',Asteraceae,Lactuca,sativa,Rex,lettuce,C3,shoot,chamber,pot,1600,400,1200,,,,,,,,,,,,Holley et al 2022,12,P,0,0,snowball,2022
Cucumis sativus 'Jinmei 3',Cucurbitaceae,Cucumis,sativus,Jinmei 3,cucumber,C3,fruit,OTC,pot,800,400,400,,,,,,high,,,32.0596,118.805,China,Dong et al 2018b,1,Mn,0,0,snowball,2018
Lactuca sativa 'Blonde of Paris Batavia',Asteraceae,Lactuca,sativa,Blonde of Paris Batavia,lettuce,C3,shoot,chamber,pot,700,400,300,,,,,,,,,,,,Perez-Lopez et al 2015a,6,P,0,0,snowball,2015
Lactuca sativa 'Blonde of Paris Batavia',Asteraceae,Lactuca,sativa,Blonde of Paris Batavia,lettuce,C3,shoot,chamber,pot,700,400,300,,,,,,,,,,,,Perez-Lopez et al 2015b,6,N,0,0,snowball,2015
Lactuca sativa 'Oak Leaf',Asteraceae,Lactuca,sativa,Oak Leaf,lettuce,C3,shoot,chamber,pot,700,400,300,,,,,,,,,,,,Perez-Lopez et al 2015b,6,Zn,0,0,snowball,2015
Cucumis sativus 'Jinmei 3',Cucurbitaceae,Cucumis,sativus,Jinmei 3,cucumber,C3,fruit,OTC,pot,1200,400,800,,,,,,low,,,32.0596,118.805,China,Dong et al 2018b,1,S,0,0,snowball,2018
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,Cu,-0.5684,-0.8403,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,Zn,-0.3938,-0.5006,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2003,52.3,10.43,Germany,Erbs et 2010,2,Cu,-0.2828,-0.3324,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Mn,-0.2047,-0.229,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Zn,-0.196,-0.2182,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Cu,-0.1807,-0.1993,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,protein,-0.177777778,-0.195744577,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,Mn,-0.1737,-0.1908,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2003,52.3,10.43,Germany,Erbs et 2010,2,Zn,-0.206,-0.2307,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,protein,-0.165289256,-0.180670029,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Mn,-0.1579,-0.1719,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2003,52.3,10.43,Germany,Erbs et 2010,2,P,-0.1846,-0.2041,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Zn,-0.1507,-0.1633,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2000,52.3,10.43,Germany,Erbs et 2010,2,S,-0.1818,-0.2007,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,Zn,-0.1423,-0.1535,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,P,-0.1597,-0.174,Loladze,2010
Hordeum vulgare 'Alexis',Poaceae,Hordeum,vulgare,Alexis,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,protein,-0.218045113,-0.245958229,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,protein,-0.115454545,-0.122681377,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2000,52.3,10.43,Germany,Erbs et 2010,2,protein,-0.136752137,-0.147053418,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2003,52.3,10.43,Germany,Erbs et 2010,2,Zn,-0.1336,-0.1434,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,protein,-0.108225108,-0.114541542,Loladze,2013
Hordeum vulgare 'Arena',Poaceae,Hordeum,vulgare,Arena,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Zn,-0.1866,-0.2065,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,S,-0.1266,-0.1353,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,Fe,-0.126106195,-0.134796415,Loladze,2010
Spinacia oleracea 'Bloomsdale Long Standing',Amaranthaceae,Spinacia,oleracea,Bloomsdale Long Standing,spinach,C3,shoot,chamber,pot,700,400,300,,,,,,,,,,,,Giri et al 2016,12,Mg,0,0,snowball,2016
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Cu,-0.1022,-0.1078,Loladze,2013
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,,,,,,,,,,,,Pinero et al 2017,6,K,0,0,snowball,2017
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,,,,,,,,,,,,Pinero et al 2017,6,Mn,0,0,snowball,2017
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,,,,,,,,,,,,Pinero et al 2017,6,P,0,0,snowball,2017
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,,,,,,,,,,,,Pinero et al 2017,6,P,0,0,snowball,2017
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,,,,,,,,,,,,Pinero et al 2017,6,P,0,0,snowball,2017
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,800,329,471,,,,,,,,,,,,Pinero et al 2017,6,P,0,0,snowball,2017
Solanum lycopersicum 'Virosa',Solanaceae,Solanum,lycopersicum,Virosa,tomato,C3,fruit,chamber,pot,1000,340,660,,,,,,,,,,,,Behboudian and Tod 1995,10,Mg,0,0,snowball,1995
Solanum lycopersicum 'PLOVID',Solanaceae,Solanum,lycopersicum,PLOVID,tomato,C3,fruit,chamber,pot,900,400,500,,,,,,,,,,,,Boufeldja et al 2023,3,Zn,0,0,snowball,2023
Brassica rapa 'Michico',Brassicaceae,Brassica,rapa,Michico,Chinese cabbage,C3,shoot,chamber,pot,800,420,380,,15/12,,,,,,,,,,Reich et al 2015,3,P,0,0,snowball,2015
Brassica rapa 'Michico',Brassicaceae,Brassica,rapa,Michico,Chinese cabbage,C3,shoot,chamber,pot,800,420,380,,21/18,,,,,,,,,,Reich et al 2015,3,Fe,0,0,snowball,2015
Brassica rapa 'Michico',Brassicaceae,Brassica,rapa,Michico,Chinese cabbage,C3,shoot,chamber,pot,800,420,380,,21/18,,,,,,,,,,Reich et al 2015,3,K,0,0,snowball,2015
Brassica rapa 'Michico',Brassicaceae,Brassica,rapa,Michico,Chinese cabbage,C3,shoot,chamber,pot,800,420,380,,21/18,,,,,,,,,,Reich et al 2015,5,N,0,0,snowball,2015
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2003,52.3,10.43,Germany,Erbs et 2010,2,protein,-0.118181818,-0.125769387,Loladze,2010
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,"calcium, salt",,,,,,,,,,,Pinero et al 2018,6,K,0,0,snowball,2018
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,"foliar calcium, no salt",,,,,,,,,,,Pinero et al 2018,6,Mn,0,0,snowball,2018
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,"foliar calcium, no salt",,,,,,,,,,,Pinero et al 2018,6,P,0,0,snowball,2018
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,"calcium, salt",,,,,,,,,,,Pinero et al 2018,6,P,0,0,snowball,2018
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2003,52.3,10.43,Germany,Erbs et 2010,2,Fe,-0.113006397,-0.119917508,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2003,52.3,10.43,Germany,Erbs et 2010,2,protein,-0.112359551,-0.119188517,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,protein,-0.11,-0.116533816,Loladze,2010
Hordeum vulgare 'Arena',Poaceae,Hordeum,vulgare,Arena,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,N,-0.151219512,-0.16395468,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,Cu,-0.1052,-0.1111,Loladze,2010
Hordeum vulgare 'Alexis',Poaceae,Hordeum,vulgare,Alexis,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,protein,-0.1484375,-0.160682382,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2000,52.3,10.43,Germany,Erbs et 2010,2,Zn,-0.102236422,-0.107848521,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,Cu,-0.0788,-0.0821,Loladze,2013
Hordeum vulgare 'Arena',Poaceae,Hordeum,vulgare,Arena,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Fe,-0.1316,-0.1411,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2000,52.3,10.43,Germany,Erbs et 2010,2,Fe,-0.0916,-0.096,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2003,52.3,10.43,Germany,Erbs et 2010,2,Fe,-0.0882,-0.0924,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,Mg,-0.087,-0.091,Loladze,2010
Solanum tuberosum 'Dark Red Norland',Solanaceae,Solanum,tuberosum,Dark Red Norland,potato,C3,tuber,OTC,pot,540,370,345,,,,,,,15 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,Mg,0,0,Loladze,2003
Solanum tuberosum 'Dark Red Norland',Solanaceae,Solanum,tuberosum,Dark Red Norland,potato,C3,tuber,OTC,pot,715,370,345,,,,,,,15 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,N,0,0,Loladze,2003
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2003,52.3,10.43,Germany,Erbs et 2010,2,S,-0.0857,-0.0896,Loladze,2010
Solanum tuberosum 'Superior',Solanaceae,Solanum,tuberosum,Superior,potato,C3,tuber,OTC,pot,715,370,345,,,,,,,15 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,K,0,0,Loladze,2003
Solanum tuberosum 'Superior',Solanaceae,Solanum,tuberosum,Superior,potato,C3,tuber,OTC,pot,715,370,345,,,,,,,15 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,Mg,0,0,Loladze,2003
Solanum tuberosum 'Dark Red Norland',Solanaceae,Solanum,tuberosum,Dark Red Norland,potato,C3,tuber,OTC,pot,540,370,345,,,,,,,45 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,Mg,0,0,Loladze,2003
Solanum tuberosum 'Superior',Solanaceae,Solanum,tuberosum,Superior,potato,C3,tuber,OTC,pot,540,370,345,,,,,,,45 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,C,0,0,Loladze,2003
Solanum tuberosum 'Superior',Solanaceae,Solanum,tuberosum,Superior,potato,C3,tuber,OTC,pot,540,370,345,,,,,,,45 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,K,0,0,Loladze,2003
Solanum tuberosum 'Superior',Solanaceae,Solanum,tuberosum,Superior,potato,C3,tuber,OTC,pot,715,370,345,,,,,,,45 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,K,0,0,Loladze,2003
Solanum tuberosum 'Superior',Solanaceae,Solanum,tuberosum,Superior,potato,C3,tuber,OTC,pot,540,370,345,,,,,,,45 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,Mg,0,0,Loladze,2003
Solanum tuberosum 'Superior',Solanaceae,Solanum,tuberosum,Superior,potato,C3,tuber,OTC,pot,715,370,345,,,,,,,45 nl/L,,35.67,-78.67,USA,Heagle et al 2003,3,Mg,0,0,Loladze,2003
Solanum tuberosum 'Dark Red Norland',Solanaceae,Solanum,tuberosum,Dark Red Norland,potato,C3,tuber,OTC,pot,715,370,345,,,,,,,80 nL/L,,35.67,-78.67,USA,Heagle et al 2003,3,Fe,0,0,Loladze,2003
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,Na,-0.069,-0.0715,Loladze,2013
Solanum tuberosum 'Superior',Solanaceae,Solanum,tuberosum,Superior,potato,C3,tuber,OTC,pot,540,370,345,,,,,,,80 nL/L,,35.67,-78.67,USA,Heagle et al 2003,3,Mg,0,0,Loladze,2003
Hordeum vulgare 'Arena',Poaceae,Hordeum,vulgare,Arena,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,S,-0.113095238,-0.120017673,Loladze,1995
Hordeum vulgare 'Alexis',Poaceae,Hordeum,vulgare,Alexis,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Zn,-0.101419878,-0.106939404,Loladze,1995
Petroselinum crispum,Apiaceae,Petroselinum,crispum,,parsley,C3,shoot,chamber,pot,627,378,249,,,,,,,,,,,,Saleh et al 2018,3,Cu,0,0,snowball,2018
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2003,52.3,10.43,Germany,Erbs et 2010,2,Mg,-0.0625,-0.0645,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2003,52.3,10.43,Germany,Erbs et 2010,2,S,-0.05,-0.0513,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2000,52.3,10.43,Germany,Erbs et 2010,2,Cu,-0.047,-0.0481,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2003,52.3,10.43,Germany,Erbs et 2010,2,P,-0.0458,-0.0468,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Fe,-0.0363,-0.037,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N50,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Na,-0.0294,-0.0298,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2003,52.3,10.43,Germany,Erbs et 2010,2,Mg,-0.0326,-0.0332,Loladze,2010
Hordeum vulgare 'Alexis',Poaceae,Hordeum,vulgare,Alexis,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,S,-0.04494382,-0.045985113,Loladze,1995
Hordeum vulgare 'Alexis',Poaceae,Hordeum,vulgare,Alexis,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Ca,-0.0446,-0.0456,Loladze,1995
Hordeum vulgare 'Arena',Poaceae,Hordeum,vulgare,Arena,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Ca,-0.0428,-0.0437,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2000,52.3,10.43,Germany,Erbs et 2010,2,Ca,-0.0286,-0.029,Loladze,2010
Hordeum vulgare 'Alexis',Poaceae,Hordeum,vulgare,Alexis,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,N,-0.04,-0.040821995,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,K,-0.0283,-0.0287,Loladze,2010
Hordeum vulgare 'Arena',Poaceae,Hordeum,vulgare,Arena,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Mg,-0.0303,-0.0308,Loladze,1995
Hordeum vulgare 'Alexis',Poaceae,Hordeum,vulgare,Alexis,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Mg,-0.025,-0.0253,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2003,52.3,10.43,Germany,Erbs et 2010,2,K,-0.0118,-0.0119,Loladze,2010
Hordeum vulgare 'Arena',Poaceae,Hordeum,vulgare,Arena,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Mn,-0.0138,-0.0139,Loladze,1995
Hordeum vulgare 'Arena',Poaceae,Hordeum,vulgare,Arena,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,P,-0.002849003,-0.002853069,Loladze,1995
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,400,329,71,"no calcium, no salt",,,,,,,,,,,Pinero et al 2018,6,P,0,0,snowball,2018
Capsicum annuum 'Herminio',Solanaceae,Capsicum,annuum,Herminio,sweet pepper,C3,fruit,greenhouse,pot,800,329,471,"no calcium, no salt",,,,,,,,,,,Pinero et al 2018,6,P,0,0,snowball,2018
Lactuca sativa 'Blonde of Paris Batavia',Asteraceae,Lactuca,sativa,Blonde of Paris Batavia,lettuce,C3,shoot,chamber,pot,700,400,300,,,,,,,,,,,,Perez-Lopez et al 2015a,6,Na,0,0,snowball,2015
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N100,,2003,52.3,10.43,Germany,Erbs et 2010,2,K,0.0023,0.0023,Loladze,2010
Hordeum vulgare 'Alexis',Poaceae,Hordeum,vulgare,Alexis,barley,C3,grain,OTC,pot,718,384,334,,,,,,,,,52.3,10.43,Germany,Manderscheid 1995,2,Mn,0.0242,0.0239,Loladze,1995
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2003,52.3,10.43,Germany,Erbs et 2010,2,Cu,0.0203,0.0201,Loladze,2010
