CO2 Rise Directly Impairs Crop Nutritional Quality,,,,,,,,,,,,,,,,,,,
Data S3: Bootstrapping Results, see Data S4 for details,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"By S.F. ter Haar*, P.M. van Bodegom, and L. Scherer",,,,,,,,,,,,,,,,,,,
"Institute of Environmental Sciences (CML), Leiden University, Leiden, The Netherlands",,,,,,,,,,,,,,,,,,,
*email: s.f.ter.haar@cml.leidenuniv.nl,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
mean,2.5,97.5,power,p-value,m,class,studytype,plottype,element,c3c4,tissue,Family,Genus,Common Name,Species,Cultivar,2.50%,mean%,97.50%
0.2756,0.2515,0.2994,0.9818,0,288,element,,,Rb,,,,,,,,28.5953,31.7321,34.9049
-0.0546,-0.0586,-0.0506,1,0,1459,element,,,S,,,,,,,,-5.6916,-5.3136,-4.9341
-0.0042,-0.0317,0.0242,0.9401,0.7718,57,element,,,Sc,,,,,,,,-3.1203,-0.4191,2.4495
0.0917,0.0432,0.1402,0.5283,0.0003,318,element,,,Se,,,,,,,,4.4147,9.6036,15.0504
0.0329,0.0019,0.0641,0.8851,0.0369,81,element,,,Si,,,,,,,,0.1902,3.3447,6.6199
-0.0295,-0.0412,-0.0176,1,0,306,element,,,Sr,,,,,,,,-4.0363,-2.9069,-1.7446
-0.0087,-0.0713,0.0542,0.3457,0.7915,57,element,,,V,,,,,,,,-6.8818,-0.8662,5.5696
-0.0727,-0.0779,-0.0675,1,0,2632,element,,,Zn,,,,,,,,-7.4943,-7.012,-6.5272
-0.0597,-0.0657,-0.0537,1,0,953,element,,,protein,,,,,,,,-6.3588,-5.7953,-5.2284
-0.0335,-0.0357,-0.0314,1,0,31026,c3c4,,,,C3,,,,,,,-3.507,-3.2945,-3.0912
0.0048,-0.0055,0.0158,1,0.3808,692,c3c4,,,,C4,,,,,,,-0.5485,0.4812,1.5925
0.0209,-0.0021,0.0441,0.9883,0.0775,407,c3c4+element,,,Al,C3,,,,,,,-0.2098,2.112,4.5087
-0.0687,-0.0826,-0.0549,1,0,304,c3c4+element,,,As,C3,,,,,,,-7.9281,-6.6393,-5.342
-0.034,-0.0422,-0.0254,1,0,1100,c3c4+element,,,B,C3,,,,,,,-4.1322,-3.3428,-2.508
-0.0637,-0.0932,-0.0345,0.9193,0.0001,22,c3c4+element,,,Ba,C3,,,,,,,-8.8989,-6.1714,-3.3912
0.0363,-0.0448,0.1201,0.2099,0.3925,57,c3c4+element,,,Br,C3,,,,,,,-4.3811,3.6967,12.761
0.0205,0.0121,0.0287,1,0,342,c3c4+element,,,C,C3,,,,,,,1.2174,2.0712,2.9116
-0.0113,-0.0211,-0.001,1,0.0277,2408,c3c4+element,,,Ca,C3,,,,,,,-2.0879,-1.1236,-0.1
-0.0829,-0.1247,-0.0359,0.5442,0.0003,388,c3c4+element,,,Cd,C3,,,,,,,-11.7238,-7.9557,-3.5263
-0.0463,-0.1149,0.0204,0.3219,0.1867,84,c3c4+element,,,Cl,C3,,,,,,,-10.8545,-4.5245,2.061
-0.0339,-0.048,-0.0204,1,0,293,c3c4+element,,,Co,C3,,,,,,,-4.6866,-3.3332,-2.0193
0.2302,0.121,0.3527,0.1159,0,134,c3c4+element,,,Cr,C3,,,,,,,12.8625,25.8852,42.2904
-0.0276,-0.037,-0.018,1,0,1845,c3c4+element,,,Cu,C3,,,,,,,-3.6324,-2.7223,-1.7839
-0.0641,-0.0708,-0.0572,1,0,2569,c3c4+element,,,Fe,C3,,,,,,,-6.8352,-6.2089,-5.5595
-0.0252,-0.0296,-0.0209,1,0,2241,c3c4+element,,,K,C3,,,,,,,-2.9166,-2.4885,-2.0683
-0.0311,-0.0359,-0.0262,1,0,2224,c3c4+element,,,Mg,C3,,,,,,,-3.5263,-3.0621,-2.586
-0.0466,-0.0536,-0.0393,1,0,2308,c3c4+element,,,Mn,C3,,,,,,,-5.2189,-4.5531,-3.8538
-0.0427,-0.075,-0.0114,0.8714,0.0099,501,c3c4+element,,,Mo,C3,,,,,,,-7.2257,-4.1801,-1.1335
-0.0661,-0.071,-0.0612,1,0,1408,c3c4+element,,,N,C3,,,,,,,-6.8538,-6.3963,-5.9365
-0.0598,-0.0638,-0.0558,1,0,2138,c3c4+element,,,N proxy,C3,,,,,,,-6.1807,-5.8047,-5.4272
-0.0331,-0.0581,-0.0079,0.9744,0.0097,823,c3c4+element,,,Na,C3,,,,,,,-5.6444,-3.2558,-0.7869
0.1044,0.0868,0.1224,0.9999,0,426,c3c4+element,,,Ni,C3,,,,,,,9.0679,11.0044,13.0206
-0.0269,-0.0308,-0.0231,1,0,2410,c3c4+element,,,P,C3,,,,,,,-3.0331,-2.6541,-2.2835
0.257,0.1377,0.377,0.1266,0,63,c3c4+element,,,Pb,C3,,,,,,,14.7631,29.3045,45.7904
-0.0184,-0.0288,-0.0077,1,0.0004,486,c3c4+element,,,Phyt,C3,,,,,,,-2.8389,-1.8232,-0.767
0.2756,0.2516,0.2997,0.9828,0,288,c3c4+element,,,Rb,C3,,,,,,,28.6082,31.7321,34.9454
-0.056,-0.0602,-0.052,1,0,1427,c3c4+element,,,S,C3,,,,,,,-5.8424,-5.4461,-5.0671
-0.0041,-0.0314,0.024,0.9422,0.773,57,c3c4+element,,,Sc,C3,,,,,,,-3.0912,-0.4092,2.429
0.0915,0.0443,0.1384,0.5532,0.0003,318,c3c4+element,,,Se,C3,,,,,,,4.5296,9.5817,14.8435
0.033,0.0013,0.0641,0.8843,0.0404,81,c3c4+element,,,Si,C3,,,,,,,0.1301,3.3551,6.6199
-0.0294,-0.0415,-0.0172,1,0,306,c3c4+element,,,Sr,C3,,,,,,,-4.0651,-2.8972,-1.7053
-0.0095,-0.0712,0.0554,0.3217,0.7718,57,c3c4+element,,,V,C3,,,,,,,-6.8724,-0.9455,5.6963
-0.0738,-0.0791,-0.0685,1,0,2576,c3c4+element,,,Zn,C3,,,,,,,-7.6052,-7.1143,-6.6207
-0.0594,-0.0654,-0.0534,1,0,935,c3c4+element,,,protein,C3,,,,,,,-6.3307,-5.767,-5.1999
0.0582,0.03,0.0883,0.91,0.0001,50,c3c4+element,,,B,C4,,,,,,,3.0455,5.9927,9.2316
0.0254,-0.0099,0.0616,0.7729,0.1601,56,c3c4+element,,,Ca,C4,,,,,,,-0.9851,2.5725,6.3537
0.0256,-0.0369,0.0943,0.2837,0.4486,56,c3c4+element,,,Cu,C4,,,,,,,-3.6227,2.593,9.8889
0.0279,-0.029,0.0972,0.2623,0.3839,56,c3c4+element,,,Fe,C4,,,,,,,-2.8584,2.8293,10.2081
0.0166,-0.0058,0.0435,0.9788,0.1795,56,c3c4+element,,,K,C4,,,,,,,-0.5783,1.6739,4.446
0.0097,-0.0301,0.0596,0.4718,0.6754,56,c3c4+element,,,Mg,C4,,,,,,,-2.9652,0.9747,6.1412
0.0094,-0.0173,0.039,0.9293,0.513,56,c3c4+element,,,Mn,C4,,,,,,,-1.7151,0.9444,3.977
-0.0474,-0.0668,-0.0283,0.9988,0,56,c3c4+element,,,N,C4,,,,,,,-6.4618,-4.6294,-2.7903
-0.0473,-0.0666,-0.0277,0.9987,0,56,c3c4+element,,,N proxy,C4,,,,,,,-6.4431,-4.6199,-2.732
0.0041,-0.0154,0.0247,0.9982,0.6802,56,c3c4+element,,,P,C4,,,,,,,-1.5282,0.4108,2.5008
0.0397,-0.0212,0.1047,0.3103,0.2166,32,c3c4+element,,,Phyt,C4,,,,,,,-2.0977,4.0499,11.0377
0.0119,-0.005,0.029,1,0.1754,32,c3c4+element,,,S,C4,,,,,,,-0.4988,1.1971,2.9425
-0.0192,-0.0341,-0.0049,1,0.01,56,c3c4+element,,,Zn,C4,,,,,,,-3.3525,-1.9017,-0.4888
-0.0787,-0.1073,-0.0528,0.0753,0,18,c3c4+element,,,protein,C4,,,,,,,-10.1744,-7.5683,-5.143
-0.04,-0.0428,-0.0373,1,0,19763,studytype,FACE,,,,,,,,,,-4.1897,-3.9211,-3.6613
-0.0371,-0.0433,-0.0309,1,0,3287,studytype,OTC,,,,,,,,,,-4.2376,-3.642,-3.0427
-0.0164,-0.0193,-0.0134,1,0,6140,studytype,chamber,,,,,,,,,,-1.9115,-1.6266,-1.3311
-0.0081,-0.0185,0.0032,1,0.1432,2464,studytype,greenhouse,,,,,,,,,,-1.833,-0.8067,0.3205
-0.0512,-0.076,-0.025,0.9684,0.0002,64,studytype,tunnel,,,,,,,,,,-7.3184,-4.9911,-2.469
0.0154,-0.0075,0.0389,0.9877,0.1969,382,studytype+element,FACE,,Al,,,,,,,,-0.7472,1.5519,3.9667
-0.0695,-0.084,-0.0549,1,0,288,studytype+element,FACE,,As,,,,,,,,-8.0569,-6.714,-5.342
-0.0421,-0.0521,-0.0322,1,0,787,studytype+element,FACE,,B,,,,,,,,-5.0766,-4.1226,-3.1687
0.0365,-0.0474,0.1227,0.2003,0.401,57,studytype+element,FACE,,Br,,,,,,,,-4.6294,3.7174,13.0545
0.0166,0.0046,0.0268,1,0.0053,56,studytype+element,FACE,,C,,,,,,,,0.4611,1.6739,2.7162
-0.0512,-0.0624,-0.0398,1,0,1397,studytype+element,FACE,,Ca,,,,,,,,-6.0493,-4.9911,-3.9018
-0.08,-0.1236,-0.0311,0.5008,0.0014,348,studytype+element,FACE,,Cd,,,,,,,,-11.6267,-7.6884,-3.0621
-0.0341,-0.0479,-0.0207,1,0,293,studytype+element,FACE,,Co,,,,,,,,-4.6771,-3.3525,-2.0487
0.3137,0.1722,0.4681,0.0913,0.0001,101,studytype+element,FACE,,Cr,,,,,,,,18.7915,36.8479,59.6957
-0.0459,-0.0537,-0.0378,1,0,1270,studytype+element,FACE,,Cu,,,,,,,,-5.2284,-4.4863,-3.7094
-0.0913,-0.0984,-0.0841,1,0,1531,studytype+element,FACE,,Fe,,,,,,,,-9.3714,-8.7256,-8.0661
-0.0161,-0.0218,-0.0105,1,0,1293,studytype+element,FACE,,K,,,,,,,,-2.1564,-1.5971,-1.0445
-0.0564,-0.0609,-0.0521,1,0,1364,studytype+element,FACE,,Mg,,,,,,,,-5.9083,-5.4839,-5.0766
-0.0581,-0.0687,-0.0475,1,0,1270,studytype+element,FACE,,Mn,,,,,,,,-6.6393,-5.6444,-4.639
-0.039,-0.0738,-0.0052,0.8197,0.0251,453,studytype+element,FACE,,Mo,,,,,,,,-7.1143,-3.8249,-0.5187
-0.0796,-0.0859,-0.0733,1,0,699,studytype+element,FACE,,N,,,,,,,,-8.2314,-7.6514,-7.0678
-0.0828,-0.0872,-0.0783,1,0,1067,studytype+element,FACE,,N proxy,,,,,,,,-8.3506,-7.9465,-7.5313
0.0148,-0.0169,0.0473,0.8588,0.3695,550,studytype+element,FACE,,Na,,,,,,,,-1.6758,1.491,4.8436
0.1181,0.0993,0.1371,0.9998,0,393,studytype+element,FACE,,Ni,,,,,,,,10.4398,12.5357,14.6943
-0.0352,-0.04,-0.0305,1,0,1419,studytype+element,FACE,,P,,,,,,,,-3.9211,-3.4588,-3.004
0.3496,0.203,0.4951,0.1031,0,48,studytype+element,FACE,,Pb,,,,,,,,22.5072,41.85,64.0662
-0.0162,-0.0269,-0.0056,1,0.0031,512,studytype+element,FACE,,Phyt,,,,,,,,-2.6541,-1.6069,-0.5584
0.2755,0.2523,0.2998,0.9851,0,288,studytype+element,FACE,,Rb,,,,,,,,28.6982,31.7189,34.9589
-0.0603,-0.0633,-0.0573,1,0,1047,studytype+element,FACE,,S,,,,,,,,-6.1338,-5.8518,-5.5689
-0.0043,-0.0315,0.0234,0.9474,0.7611,57,studytype+element,FACE,,Sc,,,,,,,,-3.1009,-0.4291,2.3676
0.0914,0.0449,0.1389,0.5449,0.0001,318,studytype+element,FACE,,Se,,,,,,,,4.5923,9.5707,14.9009
0.0332,0.0029,0.0635,0.8958,0.0318,81,studytype+element,FACE,,Si,,,,,,,,0.2904,3.3757,6.5559
-0.026,-0.0385,-0.0134,1,0.0001,288,studytype+element,FACE,,Sr,,,,,,,,-3.7768,-2.5665,-1.3311
-0.0087,-0.0699,0.0568,0.3098,0.782,57,studytype+element,FACE,,V,,,,,,,,-6.7513,-0.8662,5.8444
-0.0928,-0.1003,-0.0854,1,0,1535,studytype+element,FACE,,Zn,,,,,,,,-9.5434,-8.8624,-8.1855
-0.0931,-0.0973,-0.0888,1,0,510,studytype+element,FACE,,protein,,,,,,,,-9.2716,-8.8898,-8.4971
0.1282,0.0174,0.2417,0.1356,0.0248,22,studytype+element,OTC,,Al,,,,,,,,1.7552,13.678,27.3412
-0.0543,-0.0769,-0.0302,0.0584,0,16,studytype+element,OTC,,As,,,,,,,,-7.4018,-5.2852,-2.9749
0.0774,0.0165,0.1373,0.3735,0.0134,58,studytype+element,OTC,,B,,,,,,,,1.6637,8.0474,14.7172
-0.0378,-0.0586,-0.0146,0.0604,0.0014,18,studytype+element,OTC,,Ba,,,,,,,,-5.6916,-3.7094,-1.4494
0.0676,0.0489,0.0869,0.9987,0,88,studytype+element,OTC,,C,,,,,,,,5.0115,6.9937,9.0788
-0.009,-0.0284,0.0113,0.9987,0.3812,321,studytype+element,OTC,,Ca,,,,,,,,-2.8001,-0.896,1.1364
-0.0198,-0.044,0.001,0.0771,0.086,18,studytype+element,OTC,,Cr,,,,,,,,-4.3046,-1.9605,0.1001
-0.0234,-0.0495,0.0032,0.9613,0.0805,212,studytype+element,OTC,,Cu,,,,,,,,-4.8295,-2.3128,0.3205
0.0027,-0.0282,0.0375,0.8179,0.8712,297,studytype+element,OTC,,Fe,,,,,,,,-2.7806,0.2704,3.8212
-0.0632,-0.0809,-0.0455,0.9999,0,261,studytype+element,OTC,,K,,,,,,,,-7.7714,-6.1244,-4.448
-0.016,-0.0351,0.0032,0.9989,0.1026,269,studytype+element,OTC,,Mg,,,,,,,,-3.4491,-1.5873,0.3205
-0.0019,-0.015,0.0116,1,0.7818,247,studytype+element,OTC,,Mn,,,,,,,,-1.4888,-0.1898,1.1668
-0.0807,-0.1349,-0.0248,0.411,0.0038,30,studytype+element,OTC,,Mo,,,,,,,,-12.6197,-7.753,-2.4495
-0.0988,-0.1126,-0.0854,1,0,236,studytype+element,OTC,,N,,,,,,,,-10.6492,-9.4076,-8.1855
-0.0908,-0.1031,-0.0785,1,0,320,studytype+element,OTC,,N proxy,,,,,,,,-9.7963,-8.68,-7.5498
-0.0559,-0.081,-0.0318,0.9774,0,55,studytype+element,OTC,,Na,,,,,,,,-7.7806,-5.4366,-3.13
-0.0437,-0.0877,-0.0016,0.0702,0.0459,18,studytype+element,OTC,,Ni,,,,,,,,-8.3964,-4.2759,-0.1599
0.0079,-0.006,0.0226,1,0.283,243,studytype+element,OTC,,P,,,,,,,,-0.5982,0.7931,2.2857
0.108,0.061,0.1548,0.1282,0,6,studytype+element,OTC,,Phyt,,,,,,,,6.2899,11.4048,16.7424
-0.052,-0.0876,-0.0181,0.817,0.0035,99,studytype+element,OTC,,S,,,,,,,,-8.3873,-5.0671,-1.7937
-0.0839,-0.1207,-0.0458,0.0648,0,18,studytype+element,OTC,,Sr,,,,,,,,-11.37,-8.0477,-4.4767
-0.0819,-0.0998,-0.0652,1,0,293,studytype+element,OTC,,Zn,,,,,,,,-9.4982,-7.8636,-6.312
-0.0887,-0.1128,-0.0655,0.9854,0,138,studytype+element,OTC,,protein,,,,,,,,-10.6671,-8.488,-6.3401
-0.0187,-0.0294,-0.0078,1,0.0009,185,studytype+element,chamber,,B,,,,,,,,-2.8972,-1.8526,-0.777
-0.0181,-0.038,-0.0026,0.9991,0.059,96,studytype+element,chamber,,C,,,,,,,,-3.7287,-1.7937,-0.2597
0.0239,0.0109,0.0376,1,0.0004,513,studytype+element,chamber,,Ca,,,,,,,,1.096,2.4188,3.8316
0.081,-0.0065,0.1712,0.1955,0.0753,24,studytype+element,chamber,,Cd,,,,,,,,-0.6479,8.4371,18.6728
-0.0034,-0.018,0.0121,1,0.6569,296,studytype+element,chamber,,Cu,,,,,,,,-1.7839,-0.3394,1.2174
-0.0309,-0.0425,-0.0192,1,0,666,studytype+element,chamber,,Fe,,,,,,,,-4.161,-3.0427,-1.9017
-0.0177,-0.0247,-0.0098,1,0,510,studytype+element,chamber,,K,,,,,,,,-2.4397,-1.7544,-0.9752
0.0256,0.0157,0.0364,1,0,498,studytype+element,chamber,,Mg,,,,,,,,1.5824,2.593,3.7071
-0.0654,-0.0756,-0.055,1,0,632,studytype+element,chamber,,Mn,,,,,,,,-7.2813,-6.3307,-5.3515
-0.063,-0.1741,0.0482,0.1237,0.2146,6,studytype+element,chamber,,Mo,,,,,,,,-15.9787,-6.1057,4.9381
-0.0394,-0.0458,-0.0333,1,0,353,studytype+element,chamber,,N,,,,,,,,-4.4767,-3.8634,-3.2752
-0.0135,-0.0196,-0.0074,1,0,580,studytype+element,chamber,,N proxy,,,,,,,,-1.9409,-1.3409,-0.7373
-0.076,-0.1316,-0.0118,0.3072,0.0148,60,studytype+element,chamber,,Na,,,,,,,,-12.3308,-7.3184,-1.1731
-0.017,-0.0239,-0.0095,1,0,586,studytype+element,chamber,,P,,,,,,,,-2.3617,-1.6856,-0.9455
-0.0412,-0.0576,-0.0262,1,0,205,studytype+element,chamber,,S,,,,,,,,-5.5973,-4.0363,-2.586
-0.0157,-0.0223,-0.0087,1,0,681,studytype+element,chamber,,Zn,,,,,,,,-2.2053,-1.5577,-0.8662
0.0231,0.0138,0.0328,1,0,246,studytype+element,chamber,,protein,,,,,,,,1.3896,2.3369,3.3344
-0.0205,-0.048,0.0058,0.9557,0.1344,120,studytype+element,greenhouse,,B,,,,,,,,-4.6866,-2.0291,0.5817
0.0189,0.011,0.0269,1,0,102,studytype+element,greenhouse,,C,,,,,,,,1.1061,1.908,2.7265
0.1634,0.1019,0.2359,0.2428,0,225,studytype+element,greenhouse,,Ca,,,,,,,,10.7273,17.7508,26.6048
-0.0054,-0.0173,0.0066,0.0581,0.3853,12,studytype+element,greenhouse,,Cd,,,,,,,,-1.7151,-0.5385,0.6622
-0.0467,-0.1171,0.0193,0.3348,0.1843,84,studytype+element,greenhouse,,Cl,,,,,,,,-11.0504,-4.5626,1.9487
-0.0347,-0.0652,-0.0007,0.0523,0.0348,15,studytype+element,greenhouse,,Cr,,,,,,,,-6.312,-3.4105,-0.07
0.1189,0.0219,0.2305,0.1265,0.0244,123,studytype+element,greenhouse,,Cu,,,,,,,,2.2142,12.6257,25.9229
-0.0234,-0.0718,0.0302,0.4317,0.3693,123,studytype+element,greenhouse,,Fe,,,,,,,,-6.9283,-2.3128,3.0661
-0.0412,-0.0528,-0.0302,1,0,225,studytype+element,greenhouse,,K,,,,,,,,-5.143,-4.0363,-2.9749
0.0043,-0.0292,0.0438,0.7014,0.8187,141,studytype+element,greenhouse,,Mg,,,,,,,,-2.8778,0.4309,4.4773
0.0456,0.0239,0.0684,0.9939,0.0002,207,studytype+element,greenhouse,,Mn,,,,,,,,2.4188,4.6656,7.0794
-0.0521,-0.1884,0.0835,0.0588,0.4513,12,studytype+element,greenhouse,,Mo,,,,,,,,-17.1717,-5.0766,8.7085
-0.0149,-0.0334,0.006,0.9994,0.1355,168,studytype+element,greenhouse,,N,,,,,,,,-3.2848,-1.479,0.6018
-0.0224,-0.0382,-0.0047,1,0.0091,219,studytype+element,greenhouse,,N proxy,,,,,,,,-3.748,-2.2151,-0.4689
-0.1752,-0.2345,-0.1212,0.4552,0,158,studytype+element,greenhouse,,Na,,,,,,,,-20.9034,-16.0711,-11.4143
-0.0854,-0.1335,-0.0392,0.0634,0.0001,15,studytype+element,greenhouse,,Ni,,,,,,,,-12.4973,-8.1855,-3.8442
-0.0322,-0.0453,-0.02,1,0,210,studytype+element,greenhouse,,P,,,,,,,,-4.4289,-3.1687,-1.9801
-0.0342,-0.0591,-0.0106,0.066,0.0048,15,studytype+element,greenhouse,,Pb,,,,,,,,-5.7387,-3.3622,-1.0544
-0.0264,-0.0376,-0.0158,1,0,108,studytype+element,greenhouse,,S,,,,,,,,-3.6902,-2.6055,-1.5676
-0.1157,-0.1287,-0.1029,1,0,123,studytype+element,greenhouse,,Zn,,,,,,,,-12.0762,-10.9258,-9.7783
-0.0483,-0.0737,-0.0231,0.972,0.0004,59,studytype+element,greenhouse,,protein,,,,,,,,-7.105,-4.7152,-2.2835
-0.0433,-0.1405,0.0588,0.0557,0.4141,8,studytype+element,tunnel,,Ca,,,,,,,,-13.1076,-4.2376,6.0563
-0.0855,-0.1593,-0.0148,0.039,0.0083,8,studytype+element,tunnel,,Fe,,,,,,,,-14.726,-8.1947,-1.4691
-0.0046,-0.1122,0.106,0.0528,0.8895,8,studytype+element,tunnel,,K,,,,,,,,-10.6135,-0.4589,11.1822
-0.0861,-0.1378,-0.0378,0.0673,0.0013,8,studytype+element,tunnel,,Mg,,,,,,,,-12.8727,-8.2498,-3.7094
-0.0792,-0.1089,-0.0566,0.0918,0,8,studytype+element,tunnel,,Mn,,,,,,,,-10.318,-7.6145,-5.5028
-0.0572,-0.1082,0.0028,0.0576,0.0576,8,studytype+element,tunnel,,N,,,,,,,,-10.2552,-5.5595,0.2804
-0.0565,-0.1082,0.0028,0.0577,0.0577,8,studytype+element,tunnel,,N proxy,,,,,,,,-10.2552,-5.4934,0.2804
0.0047,-0.0276,0.0374,0.0586,0.7598,8,studytype+element,tunnel,,P,,,,,,,,-2.7223,0.4711,3.8108
-0.014,-0.0176,-0.0102,1,0,8604,studytypeSimple,indoor,,,,,,,,,,-1.7446,-1.3902,-1.0148
-0.0396,-0.0422,-0.0371,1,0,23114,studytypeSimple,outdoor,,,,,,,,,,-4.1322,-3.8826,-3.642
-0.0194,-0.0318,-0.0071,1,0.0024,305,studytypeSimple+element,indoor,,B,,,,,,,,-3.13,-1.9213,-0.7075
0.001,-0.0099,0.0103,1,0.8519,198,studytypeSimple+element,indoor,,C,,,,,,,,-0.9851,0.1001,1.0353
0.0662,0.0442,0.0905,0.9917,0,738,studytypeSimple+element,indoor,,Ca,,,,,,,,4.5191,6.844,9.4722
0.0521,-0.0059,0.1157,0.3242,0.0946,36,studytypeSimple+element,indoor,,Cd,,,,,,,,-0.5883,5.3481,12.2659
-0.0462,-0.1174,0.0206,0.3188,0.191,84,studytypeSimple+element,indoor,,Cl,,,,,,,,-11.0771,-4.5149,2.0814
-0.0348,-0.066,-0.0012,0.0514,0.0343,15,studytypeSimple+element,indoor,,Cr,,,,,,,,-6.3869,-3.4201,-0.1199
0.0324,0.0019,0.0659,0.8465,0.0484,419,studytypeSimple+element,indoor,,Cu,,,,,,,,0.1902,3.2931,6.812
-0.0297,-0.0422,-0.0168,1,0,789,studytypeSimple+element,indoor,,Fe,,,,,,,,-4.1322,-2.9263,-1.666
-0.0249,-0.031,-0.0184,1,0,735,studytypeSimple+element,indoor,,K,,,,,,,,-3.0524,-2.4593,-1.8232
0.021,0.0102,0.0324,1,0.0005,639,studytypeSimple+element,indoor,,Mg,,,,,,,,1.0252,2.1222,3.2931
